"","name","bud","donor","profit","grant1","sofin1"
"56","Автономная некоммерческая организация """"""""Центр по развитию технологий будущего""""""""",32847,127305,5322,9848000,1600000
"90","Автономная некоммерческая организация """"""""Фотоэкспедиция в дикую природу""""""""",5153,0,580,5153438,15742732
"380","Автономная Некоммерческая Организация """"""""Центр живой природы""""""""",5594669,286,149,5594609,1819546
"417","Автономная некоммерческая организация """"""""Редакция газеты """"""""Литературная Россия""""""""",0,3095,1279,3112728,844750
"583","Фонд развития общественного мониторинга и защиты прав потребителей финансовых услуг """"""""За права заёмщиков""""""""",0,18828,107,4010862.4,470000
"584","Фонд развития общественного мониторинга и защиты прав потребителей финансовых услуг """"""""За права заёмщиков""""""""",0,5050,0,4010862.4,470000
"585","Фонд развития общественного мониторинга и защиты прав потребителей финансовых услуг """"""""За права заёмщиков""""""""",0,19960,0,4010862.4,470000
"589","Фонд поддержки национальной премии """"""""Гражданская инициатива""""""""",0,6679,27859,4986648,21369925
"603","Межрегиональный Фонд """"""""Центр реабилитации """"""""Дом надежды на Горе""""""""",8435,6278,0,7215526,2660380
"608","Фонд """"""""Содействие устойчивому развитию территорий и местных сообществ""""""""",4382,3,531,4514406,650462
"650","Благотворительный фонд помощи хосписам """"""""ВЕРА""""""""",2726,345597,12844,5690480,2845920
"651","Благотворительный фонд помощи хосписам """"""""ВЕРА""""""""",2726,345597,12844,6292665.6,2696856.7
"673","Благотворительный фонд """"""""Надежная смена""""""""",6012,16471,46639,6011856,1852480
"687","Некоммерческий фонд """"""""Центр лечения и реабилитации больных детским церебральным параличом""""""""",0,15329,0,9990000,19324653.6
"688","Некоммерческий фонд """"""""Центр лечения и реабилитации больных детским церебральным параличом""""""""",0,15329,0,9990000,19324653.6
"729","Фонд поддержки гуманитарных наук """"""""Моя история""""""""",55643,477869,0,8292822,2059672.5
"750","Специализированный фонд управления целевым капиталом для развития Казанского национального исследовательского технического университета им. А.Н. Туполева-КАИ",9219,4487,0,8900400,87775830
"873","Всемирный фонд природы",19050,173444,7020,4422438,2646706
"874","Всемирный фонд природы",19050,173444,7020,14990870,6406160
"1007","Общероссийская молодежная общественная организация """"""""МИР"""""""" (""""""""Молодежь-Инициатива-Развитие"""""""")",5711,2448,887,3626424.3,792161.4
"1008","Общероссийская молодежная общественная организация """"""""МИР"""""""" (""""""""Молодежь-Инициатива-Развитие"""""""")",5711,2448,887,4642924.3,717326
"1024","Общероссийская общественная организация """"""""Российское общество историков-архивистов""""""""",3781,1408,4492,5538675,215650
"1031","Санкт-Петербургская благотворительная общественная организация """"""""Перспективы""""""""",5769,18533,521,3549481.4,4518280.8
"1479","Автономная некоммерческая организация дополнительного образования """"""""Центр народного просвещения""""""""",999,999,999,5824147,1640000
"1597","Автономная некоммерческая организация высшего образования """"""""Российский новый университет""""""""",999,999,999,6400619.3,1200872.8
"1598","Автономная некоммерческая организация высшего образования """"""""Российский новый университет""""""""",999,999,999,6400619.3,1200872.8
"1599","Автономная некоммерческая организация высшего образования """"""""Российский новый университет""""""""",999,999,999,6400619.3,1200872.8
"1600","Автономная некоммерческая организация высшего образования """"""""Российский новый университет""""""""",999,999,999,6400619.3,1200872.8
"1610","Автономная некоммерческая организация """"""""Центр проблем аутизма: образование, исследования, помощь, защита прав""""""""",999,999,999,12148740,9714000
"1611","Автономная некоммерческая организация """"""""Центр проблем аутизма: образование, исследования, помощь, защита прав""""""""",999,999,999,12148740,9714000
"1612","Автономная некоммерческая организация """"""""Центр проблем аутизма: образование, исследования, помощь, защита прав""""""""",999,999,999,12148740,9714000
"1613","Автономная некоммерческая организация """"""""Центр проблем аутизма: образование, исследования, помощь, защита прав""""""""",999,999,999,12148740,9714000
"1616","Автономная некоммерческая организация """"""""Центр проблем аутизма: образование, исследования, помощь, защита прав""""""""",999,999,999,12148740,9714000
"1720","Автономная некоммерческая организация """"""""Институт информационных технологий в образовании""""""""",999,999,999,13726475,2060725
"1933","Автономная некоммерческая организация """"""""Творческий центр реализации культурных проектов""""""""",999,999,999,8615148.1,11335000
"1962","Автономная некоммерческая организация поддержки и развития инициатив молодых ученых и педагогов """"""""Молодежные научно-образовательные инициативы""""""""",999,999,999,3736725,683050
"1973","Автономная некоммерческая организация """"""""Институт миграции и межнациональных отношений""""""""",999,999,999,3915800,1220400
"2176","Автономная некоммерческая организация по развитию исследований и проектов в области культуры и искусства """"""""Новый институт культурологии""""""""",999,999,999,7347618,2536800
"2300","Автономная некоммерческая организация """"""""Региональный центр поддержки общественных инициатив """"""""Дети Байкала""""""""",999,999,999,3875188,1672080
"2367","Автономная некоммерческая организация дополнительного профессионального образования и консалтинга """"""""Развитие""""""""",999,999,999,7015587,2984500
"2460","Автономная некоммерческая организация """"""""Центр социокультурной анимации """"""""Одухотворение""""""""",999,999,999,5910500,9203300
"2461","Автономная некоммерческая организация """"""""Центр социокультурной анимации """"""""Одухотворение""""""""",999,999,999,9235080,9532900
"2529","Автономная некоммерческая организация """"""""Лаборатория социальной рекламы""""""""",3321919,0,12361,3321919,3322112
"2544","Автономная некоммерческая организация Центр гражданских инициатив """"""""Право на жизнь""""""""",6681,267,110,4843550,4699950
"2569","Автономная некоммерческая организация Информационный центр  радиовещения, искусства и культуры """"""""Вера, надежда, любовь""""""""",999,999,999,8356710,5666670
"2603","Автономная некоммерческая организация """"""""Агентство социальной информации""""""""",999,999,999,19943620,8089520
"2605","Автономная некоммерческая организация """"""""Центр междисциплинарных исследований в современном искусстве""""""""",999,999,999,6724289,4647300
"2674","Автономная некоммерческая организация """"""""Культурно-просветительский """"""""Фестивальный центр""""""""",2882,50,5073,3290979,2019948
"2693","Автономная некоммерческая организация """"""""Межрегиональный Центр общественных инициатив """"""""Северный Кавказ""""""""",999,999,999,4978832,4691000
"2695","Автономная некоммерческая организация """"""""Межрегиональный Центр общественных инициатив """"""""Северный Кавказ""""""""",999,999,999,4978832,4691000
"2716","Автономная некоммерческая организация """"""""Центр студенческих программ Российского Союза Молодежи""""""""",999,999,999,7475224.8,4187640
